"","h16_g3","h16_g4","h16_g6","h16_eco9","h16_reg7","p1602_8aq1"
"186",2,1939,3,NA,1,NA
"187",1,1964,4,751,1,217
"188",1,1969,7,312,1,287
"189",2,1977,7,314,1,251
"190",2,2006,4,NA,1,NA
"191",1,2010,3,NA,1,NA
"192",2,1939,3,NA,1,NA
"193",2,1971,7,312,2,324
"194",1,1966,9,251,2,292
"195",1,2012,3,NA,2,NA
"196",1,1965,2,NA,1,NA
"197",2,1958,5,521,1,NA
"198",1,1987,7,312,1,268
"199",2,1942,3,941,1,27
"200",1,1925,3,NA,1,NA
"201",2,1936,3,NA,1,NA
"202",2,1953,5,NA,1,NA
"203",1,1978,7,753,1,625
"204",2,1979,7,NA,1,NA
"205",1,2009,3,NA,1,NA
"206",1,2011,3,NA,1,NA
"207",1,1979,7,312,2,833
"208",2,1983,7,NA,2,NA
"209",2,1946,3,NA,1,NA
"210",1,1957,3,NA,1,NA
"211",2,1934,3,941,1,NA
"212",2,1958,4,951,1,285
"213",2,1983,7,320,1,917
"214",1,1975,7,311,1,467
"215",1,2014,1,NA,1,NA
"216",2,2015,1,NA,1,NA
"217",1,1984,5,761,2,458
"218",2,1984,5,NA,2,NA
"219",2,2013,3,NA,2,NA
"220",1,2019,1,NA,2,NA
"221",1,1945,7,NA,2,NA
"222",2,1982,7,532,2,NA
"223",2,1957,5,951,1,NA
"224",1,1982,7,412,1,360
"225",2,1979,7,320,1,184
"226",1,1975,8,231,1,593
"227",1,2012,3,NA,1,NA
"228",1,2015,1,NA,1,NA
"229",1,1932,4,NA,1,NA
"230",2,1940,3,NA,1,NA
"231",1,1959,7,274,2,883
"232",2,1964,6,NA,2,NA
"233",2,1990,7,243,2,245
"234",2,1989,7,254,1,407
"235",1,1987,7,391,1,167
"236",1,1952,3,NA,1,NA
"237",1,1952,5,NA,1,NA
"238",2,1950,5,NA,1,NA
"239",2,1980,8,NA,1,NA
"240",1,1967,5,873,1,NA
"241",2,1968,5,422,1,NA
"242",2,1995,6,521,1,250
"243",1,2000,5,521,1,80
"244",1,1973,8,531,1,NA
"245",2,1976,7,NA,1,NA
"246",1,2006,4,NA,1,NA
"247",1,1973,6,312,1,362
"248",2,1973,5,521,1,267
"249",2,2000,7,952,1,30
"250",1,2002,5,NA,1,NA
"251",1,1964,7,312,1,NA
"252",2,1962,8,NA,1,NA
"253",1,1947,6,NA,1,NA
"254",2,1958,5,422,1,NA
"255",1,1976,6,941,2,NA
"256",2,1981,6,254,2,150
"257",1,2008,3,NA,2,NA
"258",2,1951,3,NA,1,NA
"259",2,1933,2,NA,1,NA
"260",1,1958,5,873,1,NA
"261",2,1962,5,NA,1,NA
"262",1,1988,6,245,1,359
"263",1,1977,6,NA,7,NA
"264",2,1977,6,243,7,157
"265",2,2007,4,NA,7,NA
"266",2,2009,3,NA,7,NA
"267",1,2011,3,NA,7,NA
"268",1,1979,6,222,2,380
"269",2,1979,6,NA,2,NA
"270",1,2007,4,NA,2,NA
"271",2,2013,3,NA,2,NA
"272",2,1946,3,NA,2,NA
"273",1,1944,4,873,1,NA
"274",2,1952,4,941,1,50
"275",1,1972,5,521,1,NA
"276",1,1944,5,NA,2,NA
"277",2,1952,4,NA,2,NA
"278",1,1946,5,NA,1,NA
"279",2,1948,5,NA,1,NA
"280",2,1936,5,NA,1,NA
"281",1,1935,7,NA,1,NA
"282",2,1942,4,NA,1,NA
"283",1,1977,7,510,2,648
"284",2,1979,5,312,2,215
"285",1,2006,4,NA,2,NA
"286",2,2008,3,NA,2,NA
"287",2,1930,3,NA,1,NA
"288",1,1965,5,762,1,NA
"289",2,1970,5,NA,1,NA
"290",2,1995,6,422,1,270
"291",2,2001,6,NA,1,NA
"292",2,1940,4,NA,1,NA
"293",2,1943,2,NA,1,NA
"294",1,1938,4,NA,1,NA
"295",2,1946,3,NA,1,NA
"296",1,1954,7,873,1,NA
"297",2,1958,5,NA,1,NA
"298",1,1984,7,921,1,368
"299",2,1937,3,941,1,27
"300",2,1962,4,951,1,150
"301",2,1941,3,710,1,108
"302",1,1968,4,999,1,208
"303",2,1953,3,951,1,120
"304",1,1974,7,222,1,700
"305",2,1979,7,313,1,393
"306",2,2007,4,NA,1,NA
"307",2,1954,3,952,7,163
"308",1,1944,3,NA,1,NA
"309",2,1944,3,NA,1,NA
"310",1,1952,3,153,1,180
"311",2,1956,3,999,1,130
"312",2,1948,5,NA,1,NA
"313",2,1942,5,NA,1,NA
"314",2,1965,5,159,1,300
"315",2,1989,8,312,1,248
"316",2,1994,7,NA,1,NA
"317",1,1959,5,873,1,NA
"318",2,1941,3,NA,1,NA
"319",1,1940,3,NA,1,NA
"320",1,1932,4,NA,1,NA
"321",2,1936,3,NA,1,NA
"322",1,1960,5,942,1,200
"323",2,1963,5,NA,1,NA
"324",2,1990,7,283,1,204
"325",1,1963,5,873,6,NA
"326",2,1990,5,281,6,54
"327",2,2011,3,NA,6,NA
"328",2,2013,3,NA,6,NA
"329",1,1977,7,411,1,633
"330",2,1978,8,243,1,625
"331",2,2006,4,NA,1,NA
"332",2,1950,3,NA,1,NA
"333",1,2008,3,NA,1,NA
"334",1,2016,1,NA,1,NA
"335",2,1980,6,NA,7,NA
"336",1,1980,6,730,7,NA
"337",1,2010,3,NA,7,NA
"338",1,2013,3,NA,7,NA
"339",2,2016,1,NA,7,NA
"340",1,1948,5,NA,1,NA
"341",2,1950,3,NA,1,NA
"342",1,1977,6,223,1,403
"343",2,1976,6,NA,1,NA
"344",1,1973,7,231,1,451
"345",1,2008,3,NA,1,NA
"346",1,1968,5,721,1,NA
"347",2,1966,5,721,1,305
"348",1,1998,7,NA,1,NA
"349",2,2000,7,NA,1,NA
"350",1,1959,3,910,1,223
"351",2,1964,3,NA,1,NA
"352",2,1986,7,312,1,260
"353",2,1988,5,313,1,285
"354",1,1939,4,NA,2,NA
"355",2,1940,3,NA,2,NA
"356",1,1945,7,NA,1,NA
