"","h16_g3","h16_g4","h16_g6","h16_eco9","h16_reg7","p1602_8aq1"
"3722",2,1938,3,NA,2,NA
"3723",1,1949,2,NA,2,NA
"3724",2,1946,2,NA,2,NA
"3725",1,1984,5,285,2,NA
"3726",2,1980,5,953,2,250
"3727",1,1937,4,611,2,NA
"3728",2,1942,3,611,2,NA
"3729",1,1959,7,235,2,419
"3730",2,1965,6,952,2,222
"3731",1,1995,5,234,2,400
"3732",2,1948,3,611,2,NA
"3733",1,1938,2,611,2,NA
"3734",2,1935,2,611,2,NA
"3735",2,1928,3,NA,2,NA
"3736",2,1981,6,NA,7,NA
"3737",1,1982,6,330,7,250
"3738",2,2015,1,NA,7,NA
"3739",2,1985,6,NA,7,NA
"3740",1,1983,5,930,7,380
"3741",1,2019,1,NA,7,NA
"3742",1,1953,5,611,7,NA
"3743",2,1960,4,NA,7,NA
"3744",1,1953,7,231,7,364
"3745",2,1936,4,NA,7,NA
"3746",2,1973,5,NA,7,NA
"3747",1,1940,5,NA,7,NA
"3748",2,1939,3,NA,7,NA
"3749",1,1946,5,NA,7,NA
"3750",2,1952,3,NA,7,NA
"3751",2,1949,3,941,7,27
"3752",2,1964,5,722,7,70
"3753",2,1996,7,252,7,198
"3754",1,1979,7,942,7,500
"3755",2,1983,5,531,7,NA
"3756",2,2004,5,NA,7,NA
"3757",1,2006,4,NA,7,NA
"3758",2,1942,3,NA,7,NA
"3759",1,1962,7,783,7,NA
"3760",1,1998,6,930,7,210
"3761",1,1951,3,NA,7,NA
"3762",2,1954,5,421,7,100
"3763",1,1989,7,NA,7,NA
"3764",1,1952,5,NA,7,NA
"3765",2,1955,5,421,7,54
"3766",2,1932,3,NA,7,NA
"3767",2,2002,5,NA,7,NA
"3768",1,1943,4,NA,7,NA
"3769",2,1947,4,NA,7,NA
"3770",2,1942,2,NA,7,NA
"3771",1,1946,8,NA,7,NA
"3772",2,1951,6,NA,7,NA
"3773",1,1980,7,762,7,NA
"3774",2,1957,3,NA,7,NA
"3775",2,1939,3,941,7,27
"3776",1,1936,3,941,7,27
"3777",2,1940,3,941,7,27
"3778",1,1942,5,NA,7,NA
"3779",2,1946,3,NA,7,NA
"3780",1,1971,5,751,7,NA
"3781",2,1976,5,NA,7,NA
"3782",2,2003,5,NA,7,NA
"3783",2,1960,3,941,7,190
"3784",1,1991,6,313,7,183
"3785",2,1987,7,NA,7,NA
"3786",1,1982,5,521,7,NA
"3787",1,2018,1,NA,7,NA
"3788",2,1936,2,NA,7,NA
"3789",1,1960,4,NA,7,NA
"3790",1,1943,7,NA,7,NA
"3791",1,1980,7,254,7,200
"3792",2,1980,5,392,7,192
"3793",2,2008,3,NA,7,NA
"3794",2,2015,1,NA,7,NA
"3795",2,1955,4,NA,7,NA
"3796",2,1942,3,999,7,27
"3797",2,1956,4,NA,7,NA
"3798",2,1952,5,NA,7,NA
"3799",2,1938,2,NA,7,NA
"3800",1,1949,4,NA,7,NA
"3801",1,1976,5,730,7,NA
"3802",2,1978,5,NA,7,NA
"3803",1,2012,3,NA,7,NA
"3804",1,2014,1,NA,7,NA
"3805",2,1940,3,NA,7,NA
"3806",1,1959,3,NA,7,NA
"3807",2,1956,3,NA,7,NA
"3808",2,1946,2,NA,7,NA
"3809",1,1973,5,NA,7,NA
"3810",1,1942,5,942,7,178
"3811",2,1946,3,NA,7,NA
"3812",2,1928,2,NA,7,NA
"3813",1,1954,2,NA,7,NA
"3814",1,1939,3,NA,7,NA
"3815",2,1944,5,NA,7,NA
"3816",1,1959,4,941,7,152
"3817",1,1990,5,442,7,282
"3818",1,1945,3,NA,7,NA
"3819",2,1949,3,NA,7,NA
"3820",1,1977,4,930,7,27
"3821",1,1978,4,930,7,229
"3822",1,1980,5,930,7,80
"3823",1,1974,7,231,7,208
"3824",2,1975,7,NA,7,NA
"3825",2,2007,4,NA,7,NA
"3826",1,1967,7,312,7,775
"3827",2,1969,6,244,7,176
"3828",2,1999,7,NA,7,NA
"3829",2,2002,5,NA,7,NA
"3830",1,1955,7,922,7,NA
"3831",2,1957,5,247,7,100
"3832",2,1986,7,313,7,308
"3833",1,1972,5,613,7,NA
"3834",2,1970,5,NA,7,NA
"3835",2,1997,7,NA,7,NA
"3836",1,1998,7,NA,7,NA
"3837",2,1933,3,NA,7,NA
"3838",1,1967,5,854,7,191
"3839",1,1967,6,910,7,NA
"3840",2,1970,6,NA,7,NA
"3841",2,1997,7,247,7,218
"3842",2,1999,7,NA,7,NA
"3843",1,2004,5,NA,7,NA
"3844",1,1975,7,231,7,551
"3845",2,1978,7,243,7,258
"3846",2,2009,3,NA,7,NA
"3847",1,1956,4,NA,7,NA
"3848",2,1958,4,941,7,125
"3849",2,1985,7,314,7,105
"3850",1,1986,7,922,7,230
"3851",1,2017,1,NA,7,NA
"3852",1,1941,4,799,7,NA
"3853",2,1952,4,NA,7,NA
"3854",2,1980,8,NA,7,NA
"3855",1,2004,5,NA,7,NA
"3856",1,2005,4,NA,7,NA
"3857",2,2008,3,NA,7,NA
"3858",1,1972,6,312,7,333
"3859",2,1971,7,NA,7,NA
"3860",2,2004,5,NA,7,NA
"3861",1,2006,4,NA,7,NA
"3862",1,1965,5,873,7,NA
"3863",1,1994,5,432,7,NA
"3864",1,1997,7,NA,7,NA
"3865",2,1967,7,531,7,198
"3866",2,1991,7,442,7,225
"3867",1,2001,7,NA,7,NA
"3868",1,1971,5,NA,7,NA
"3869",2,1976,4,NA,7,NA
"3870",2,2005,4,NA,7,NA
"3871",2,1948,4,999,7,27
"3872",1,1964,5,873,7,342
"3873",2,1973,5,951,7,216
"3874",1,1994,7,254,2,200
"3875",1,1964,6,862,7,204
"3876",2,1972,5,NA,7,NA
"3877",2,1997,7,246,7,241
"3878",1,1999,7,442,7,NA
"3879",2,2001,7,953,7,NA
"3880",1,1942,4,NA,5,NA
"3881",2,1945,3,NA,5,NA
"3882",1,1963,7,311,7,667
"3883",2,1964,5,521,7,217
"3884",1,1989,7,313,7,290
"3885",1,1991,7,NA,7,NA
"3886",1,1935,5,NA,7,NA
"3887",1,1957,8,312,7,350
"3888",2,1959,7,NA,7,NA
"3889",1,1990,7,NA,7,NA
"3890",1,1963,7,311,7,692
"3891",2,1967,5,NA,7,NA
"3892",1,1995,7,246,7,250
"3893",2,1998,7,252,7,260
"3894",1,1965,7,NA,7,NA
"3895",2,1969,7,247,7,NA
"3896",2,1999,7,NA,7,NA
"3897",2,2001,6,NA,7,NA
"3898",1,1944,9,NA,7,NA
"3899",2,1957,8,NA,7,NA
"3900",2,1948,4,NA,7,NA
"3901",2,1944,3,941,7,27
"3902",2,1974,7,NA,7,NA
"3903",1,1976,7,312,7,260
"3904",2,2011,3,NA,7,NA
"3905",2,1962,5,247,7,300
"3906",1,1992,5,NA,7,NA
"3907",1,1993,7,224,7,233
"3908",2,1983,5,NA,7,NA
"3909",1,1975,6,442,7,NA
"3910",2,2014,1,NA,7,NA
"3911",2,2018,1,NA,7,NA
"3912",1,1939,3,NA,7,NA
"3913",1,1968,7,999,7,90
"3914",1,1970,5,853,7,280
"3915",2,1983,4,853,7,220
"3916",1,2011,3,NA,7,NA
"3917",2,1940,2,941,7,27
"3918",1,1943,4,429,7,NA
"3919",2,1949,3,951,7,NA
"3920",1,1976,7,252,7,652
"3921",2,1982,8,311,7,439
"3922",2,2011,3,NA,7,NA
"3923",1,2013,3,NA,7,NA
"3924",2,1942,3,NA,7,NA
"3925",2,1937,2,611,7,NA
"3926",1,1977,7,521,5,NA
"3927",2,1978,5,399,5,192
"3928",1,2006,4,NA,5,NA
"3929",2,2008,3,NA,5,NA
"3930",1,1968,7,NA,7,NA
"3931",1,1974,7,NA,7,NA
"3932",1,1955,7,NA,1,NA
"3933",2,1958,5,941,1,103
"3934",2,1997,7,NA,1,NA
"3935",2,1922,3,NA,1,NA
"3936",1,1946,4,999,7,27
"3937",1,1957,5,799,7,250
"3938",2,1959,5,NA,7,NA
"3939",1,1982,7,313,7,260
"3940",1,1948,3,910,7,NA
"3941",2,1958,4,NA,7,NA
"3942",1,1980,5,910,7,NA
"3943",2,1944,3,952,7,27
"3944",1,1952,7,NA,7,NA
"3945",2,1956,5,NA,7,NA
"3946",1,1944,5,NA,7,NA
"3947",2,1953,5,NA,7,NA
"3948",1,1980,7,284,2,159
"3949",1,1942,5,873,7,190
"3950",2,1954,5,NA,7,NA
"3951",1,1962,5,799,7,NA
"3952",2,1967,5,NA,7,NA
"3953",1,1994,6,942,7,180
"3954",1,1935,5,611,7,NA
"3955",2,1941,3,NA,7,NA
"3956",1,1958,5,521,7,NA
"3957",2,1960,5,NA,7,NA
"3958",1,1988,6,999,7,120
"3959",1,1991,7,772,7,200
"3960",1,1951,6,NA,7,NA
"3961",2,1950,4,NA,7,NA
"3962",1,1982,6,432,7,NA
"3963",1,1974,8,246,7,300
"3964",2,1974,9,243,7,525
"3965",2,2006,4,NA,7,NA
"3966",1,2008,3,NA,7,NA
"3967",2,1962,5,951,7,130
"3968",2,2000,7,NA,7,NA
"3969",1,1983,5,313,3,442
"3970",2,1983,6,NA,3,NA
"3971",1,2008,3,NA,3,NA
"3972",1,2016,1,NA,3,NA
"3973",1,1954,5,873,7,NA
"3974",2,1953,5,941,7,35
"3975",1,1979,5,312,7,275
"3976",2,1989,6,NA,7,NA
"3977",2,2016,1,NA,7,NA
"3978",1,2018,1,NA,7,NA
"3979",2,1955,4,951,7,NA
"3980",2,1981,7,442,7,NA
"3981",1,1976,7,441,7,NA
"3982",1,2016,1,NA,7,NA
"3983",1,2016,1,NA,7,NA
"3984",2,1981,7,245,7,264
"3985",1,1978,7,312,7,580
"3986",2,2016,1,NA,7,NA
"3987",1,2019,1,NA,7,NA
"3988",2,1957,3,611,7,NA
"3989",2,1981,6,243,5,379
"3990",1,1978,7,235,5,847
"3991",1,2013,3,NA,5,NA
"3992",2,2015,1,NA,5,NA
"3993",1,1970,5,431,7,110
"3994",2,1999,6,442,1,NA
"3995",1,1955,3,783,7,NA
"3996",2,1961,3,783,7,NA
"3997",1,1951,4,NA,7,NA
"3998",2,1956,4,NA,7,NA
"3999",2,1982,6,442,7,NA
"4000",1,1979,6,312,7,417
"4001",2,1979,6,NA,7,NA
"4002",2,2009,3,NA,7,NA
"4003",1,2011,3,NA,7,NA
"4004",1,1977,6,312,7,425
"4005",2,1983,6,999,7,100
"4006",1,2010,3,NA,7,NA
"4007",1,2012,3,NA,7,NA
"4008",2,1947,4,NA,7,NA
"4009",1,1952,3,782,7,NA
"4010",2,1956,3,NA,7,NA
"4011",2,1981,5,521,7,220
"4012",1,1966,5,922,7,NA
"4013",2,1972,5,442,7,250
"4014",1,1998,7,NA,7,NA
"4015",2,2001,7,NA,7,NA
"4016",1,2006,4,NA,7,NA
"4017",1,1942,4,611,7,NA
"4018",2,1948,3,NA,7,NA
"4019",2,1964,5,941,6,20
"4020",1,2007,4,NA,6,NA
"4021",1,1952,5,NA,7,NA
"4022",1,1955,5,NA,7,NA
"4023",2,1967,5,NA,7,NA
"4024",1,1981,7,899,7,208
"4025",1,1993,5,863,7,250
"4026",1,1979,5,761,7,500
"4027",2,1979,6,246,7,200
"4028",2,2005,4,NA,7,NA
"4029",2,2007,4,NA,7,NA
"4030",1,2010,3,NA,7,NA
"4031",2,1959,4,421,7,190
"4032",2,1988,7,313,7,250
"4033",2,1998,7,521,7,NA
"4034",2,1982,6,NA,7,NA
"4035",1,1980,6,NA,7,NA
"4036",2,2013,3,NA,7,NA
"4037",2,1935,3,NA,7,NA
"4038",1,1956,5,432,7,NA
"4039",1,1987,5,854,7,250
"4040",1,1987,7,312,7,267
"4041",2,1962,5,442,7,200
"4042",2,1956,5,NA,7,NA
"4043",1,1984,8,248,7,85
"4044",2,1980,6,NA,2,NA
"4045",1,1980,6,235,2,518
"4046",2,2014,1,NA,2,NA
"4047",1,2017,1,NA,2,NA
"4048",1,1966,4,NA,7,NA
"4049",2,1939,3,NA,7,NA
"4050",1,1952,3,NA,7,NA
"4051",1,1978,6,783,7,NA
"4052",2,1951,3,NA,7,NA
"4053",2,1961,3,NA,7,NA
"4054",1,1987,5,NA,7,NA
"4055",2,1948,4,NA,7,NA
"4056",2,1967,5,NA,7,NA
"4057",1,1944,2,NA,7,NA
"4058",1,1975,5,953,7,100
"4059",2,1953,3,NA,7,NA
"4060",2,1964,4,NA,7,NA
"4061",1,1990,7,819,7,330
"4062",2,1994,7,NA,7,NA
"4063",1,1950,5,NA,5,NA
"4064",2,1952,3,NA,5,NA
"4065",2,1960,5,899,7,200
"4066",2,1988,7,313,2,500
"4067",1,1987,8,399,2,300
"4068",1,2019,1,NA,2,NA
"4069",2,1988,7,273,2,416
"4070",1,1988,7,730,2,295
"4071",1,1961,3,NA,7,NA
"4072",2,1995,5,NA,7,NA
"4073",1,1994,5,922,7,NA
"4074",1,2018,1,NA,7,NA
"4075",2,1931,2,NA,7,NA
"4076",1,1952,5,NA,7,NA
"4077",2,1961,4,NA,7,NA
"4078",2,1987,6,NA,7,NA
"4079",2,1933,4,NA,7,NA
"4080",1,1970,7,311,5,500
"4081",2,1971,7,NA,5,NA
"4082",1,2005,4,NA,5,NA
"4083",1,2007,4,NA,5,NA
"4084",1,1967,5,NA,7,NA
"4085",2,1969,5,442,7,123
"4086",1,1994,5,314,7,267
"4087",1,1953,7,510,7,613
"4088",2,1960,7,132,7,NA
"4089",1,1986,7,159,7,NA
"4090",1,1962,6,873,7,NA
"4091",2,1967,5,521,7,144
"4092",2,1993,7,NA,7,NA
"4093",1,1995,7,881,7,210
"4094",1,1955,5,132,7,721
"4095",2,1956,5,611,7,NA
"4096",2,1981,7,272,7,712
"4097",1,1979,7,311,7,448
"4098",2,2011,3,NA,7,NA
"4099",1,2015,1,NA,7,NA
"4100",2,1984,6,521,7,NA
"4101",1,1978,5,782,7,NA
"4102",1,2007,4,NA,7,NA
"4103",1,2009,3,NA,7,NA
"4104",1,1942,3,NA,7,NA
"4105",2,1947,4,NA,7,NA
"4106",2,1975,6,421,7,350
"4107",2,1973,6,NA,7,NA
"4108",1,1997,7,NA,7,NA
"4109",2,2000,7,NA,7,NA
"4110",1,1976,7,841,7,382
"4111",2,1979,7,247,7,423
"4112",2,2007,4,NA,7,NA
"4113",2,2011,3,NA,7,NA
"4114",2,2011,3,NA,7,NA
"4115",1,2015,1,NA,7,NA
"4116",1,1963,5,854,7,808
"4117",2,1964,7,NA,7,NA
"4118",2,1993,7,311,7,250
"4119",1,1974,6,864,7,277
"4120",2,1977,6,247,7,293
"4121",2,2003,5,NA,7,NA
"4122",2,2006,4,NA,7,NA
"4123",2,1953,3,NA,7,NA
"4124",1,1971,5,852,7,426
"4125",2,1977,6,272,7,200
"4126",2,2000,6,NA,7,NA
"4127",2,2004,5,NA,7,NA
"4128",1,2008,3,NA,7,NA
"4129",2,1941,3,NA,7,NA
"4130",1,1969,5,NA,7,NA
"4131",1,1962,5,248,5,100
"4132",2,1966,6,248,5,100
"4133",1,1998,7,429,5,43
"4134",2,1942,4,NA,2,NA
"4135",1,1974,7,312,2,300
"4136",1,1954,4,NA,5,NA
"4137",2,1954,3,NA,5,NA
"4138",2,1949,2,951,7,49
"4139",1,1973,5,841,7,304
"4140",1,2008,3,NA,7,NA
"4141",1,1975,5,151,7,317
"4142",2,1980,6,421,7,113
"4143",1,2007,4,NA,7,NA
"4144",1,2011,3,NA,7,NA
"4145",2,1944,5,NA,7,NA
"4146",1,1980,8,320,7,312
"4147",2,1935,2,NA,7,NA
"4148",1,1954,7,611,7,NA
"4149",2,1960,5,247,7,167
"4150",2,1986,7,281,1,380
"4151",2,1988,7,NA,1,NA
"4152",1,1982,8,234,1,558
"4153",1,2015,1,NA,1,NA
"4154",1,1971,5,910,7,NA
"4155",1,1999,5,930,7,223
"4156",2,1939,3,NA,7,NA
"4157",1,1974,7,312,7,1000
"4158",2,1975,7,259,7,400
"4159",2,2004,5,NA,7,NA
"4160",2,1934,3,NA,7,NA
"4161",1,1956,7,941,7,200
"4162",2,1957,5,152,7,275
"4163",1,1963,5,149,7,300
"4164",2,1970,5,942,7,NA
"4165",2,1992,7,312,7,317
"4166",1,1992,6,751,7,417
"4167",1,1961,5,784,7,337
"4168",2,1966,5,NA,7,NA
"4169",1,1990,5,NA,7,NA
"4170",2,1998,8,NA,7,NA
"4171",1,1939,3,NA,7,NA
"4172",2,1936,3,NA,7,NA
"4173",1,1972,7,312,7,686
"4174",2,1974,6,NA,7,NA
"4175",1,2003,5,NA,7,NA
"4176",1,2005,4,NA,7,NA
"4177",2,1954,3,NA,7,NA
"4178",1,1999,5,930,7,180
"4179",1,1937,4,NA,7,NA
"4180",2,1943,3,NA,7,NA
"4181",1,1981,7,312,7,344
"4182",2,1981,5,864,7,233
"4183",2,2007,4,NA,7,NA
"4184",2,2009,3,NA,7,NA
"4185",1,1947,3,NA,7,NA
"4186",2,1947,3,941,7,150
"4187",1,1969,7,151,7,808
"4188",2,1971,5,930,7,189
"4189",1,1998,7,NA,7,NA
"4190",1,1969,5,312,7,591
"4191",2,1968,5,NA,7,NA
"4192",1,1998,6,NA,7,NA
"4193",2,1996,6,NA,7,NA
"4194",2,1949,6,NA,7,NA
"4195",1,1944,4,NA,7,NA
"4196",2,1948,3,NA,7,NA
"4197",2,1972,5,NA,5,NA
"4198",1,1995,7,521,6,202
"4199",2,1941,2,NA,5,NA
"4200",2,1962,3,NA,5,NA
"4201",2,1937,5,NA,5,NA
"4202",2,1938,3,NA,5,NA
"4203",1,1974,6,921,5,209
"4204",2,1929,2,NA,5,NA
"4205",2,1975,8,442,5,121
"4206",2,2001,7,NA,5,NA
"4207",2,1949,3,941,1,125
"4208",1,1945,3,NA,1,NA
"4209",2,1947,3,NA,5,NA
"4210",1,1934,7,NA,5,NA
"4211",2,1944,3,NA,5,NA
"4212",2,1964,5,NA,5,NA
"4213",1,2006,4,NA,5,NA
"4214",2,1988,5,NA,1,NA
"4215",1,1984,6,832,1,500
"4216",1,2018,1,NA,1,NA
"4217",2,1942,3,NA,5,NA
"4218",1,1986,5,930,5,508
"4219",2,1986,5,NA,5,NA
"4220",2,2009,3,NA,5,NA
"4221",2,2011,3,NA,5,NA
"4222",1,1936,3,NA,5,NA
"4223",1,1949,3,NA,5,NA
"4224",2,1947,3,NA,5,NA
"4225",2,1970,5,313,5,402
"4226",2,1996,7,NA,5,NA
"4227",2,1953,3,952,5,NA
"4228",2,1942,2,NA,5,NA
"4229",2,1959,4,941,5,226
"4230",1,1949,4,882,5,300
"4231",2,1956,5,510,5,313
"4232",2,1932,4,NA,5,NA
"4233",1,1950,4,792,5,NA
"4234",2,1954,3,611,5,NA
"4235",2,1969,3,NA,5,NA
"4236",2,1989,5,243,5,180
"4237",1,1987,7,222,5,435
"4238",2,1987,6,243,5,360
"4239",2,1942,3,NA,5,NA
"4240",1,1994,6,NA,5,NA
"4241",2,1937,3,999,5,27
"4242",1,1961,5,992,5,48
"4243",2,1946,3,NA,5,NA
"4244",1,1967,7,132,5,1197
"4245",2,1971,7,259,5,120
"4246",1,1998,7,NA,5,NA
"4247",2,2000,7,NA,5,NA
"4248",1,1944,8,611,5,NA
"4249",2,1950,7,NA,5,NA
"4250",2,1975,7,NA,5,NA
"4251",1,1973,7,874,5,NA
"4252",2,2008,3,NA,5,NA
"4253",1,2008,3,NA,5,NA
"4254",1,1955,7,442,5,NA
"4255",2,1961,5,442,5,NA
"4256",1,1963,5,141,5,NA
"4257",2,1966,5,421,5,130
"4258",1,1993,6,NA,5,NA
"4259",1,1995,7,921,5,232
"4260",1,1969,8,252,5,550
"4261",2,1971,7,314,5,190
"4262",1,2003,5,NA,5,NA
"4263",1,2004,5,NA,5,NA
"4264",1,1955,7,NA,5,NA
"4265",2,1955,8,NA,5,NA
"4266",1,1983,7,NA,5,NA
"4267",2,1993,7,283,5,420
"4268",1,1940,5,NA,5,NA
"4269",2,1946,4,NA,5,NA
"4270",1,1948,5,942,5,80
"4271",2,1954,5,951,5,NA
"4272",1,1979,7,312,5,977
"4273",2,1985,7,320,5,500
"4274",2,2011,3,NA,5,NA
"4275",2,1928,3,NA,7,NA
"4276",1,1954,5,922,5,90
"4277",2,1961,5,NA,5,NA
"4278",2,1932,2,NA,5,NA
"4279",2,1966,5,721,5,187
"4280",2,1991,5,313,5,208
"4281",1,1967,4,910,5,NA
"4282",2,1964,3,441,5,206
"4283",1,1997,6,510,5,193
"4284",2,1951,3,421,5,155
"4285",1,1968,6,910,5,363
"4286",2,1968,7,999,5,210
"4287",1,1996,7,442,5,62
"4288",2,1999,7,521,5,34
"4289",2,1935,5,NA,5,NA
"4290",1,1952,8,133,5,800
"4291",2,1956,8,259,5,41
"4292",1,1964,8,233,5,656
"4293",2,1967,5,421,5,267
"4294",1,1998,5,NA,5,NA
"4295",2,1991,7,313,5,321
"4296",1,1933,4,NA,5,NA
"4297",2,1936,3,NA,5,NA
"4298",1,1946,5,NA,5,NA
"4299",2,1949,4,NA,5,NA
"4300",1,1942,7,NA,4,NA
"4301",2,1944,7,NA,4,NA
"4302",1,1948,5,429,5,178
"4303",2,1953,4,951,5,50
"4304",2,1938,5,521,5,NA
"4305",1,1967,6,NA,5,NA
"4306",1,1973,7,312,5,363
"4307",2,1974,7,NA,5,NA
"4308",1,2001,7,NA,5,NA
"4309",2,2002,5,NA,5,NA
"4310",1,1971,7,312,5,531
"4311",2,1970,6,313,5,228
"4312",1,1997,7,286,5,100
"4313",2,1998,7,NA,5,NA
"4314",1,1959,8,NA,5,NA
"4315",2,1964,8,247,5,268
"4316",2,1999,7,NA,5,NA
"4317",2,1992,7,253,6,393
"4318",1,1953,7,999,5,48
"4319",2,1956,5,951,5,40
"4320",2,1983,6,312,5,381
"4321",1,1980,6,311,5,545
"4322",1,2011,3,NA,5,NA
"4323",2,2017,1,NA,5,NA
"4324",1,1937,4,NA,5,NA
"4325",2,1942,3,NA,5,NA
"4326",1,1940,5,NA,5,NA
"4327",2,1942,3,NA,5,NA
"4328",1,1978,7,247,5,206
"4329",2,1981,6,930,5,200
"4330",1,2009,3,NA,5,NA
"4331",1,2012,3,NA,5,NA
"4332",1,1934,7,NA,5,NA
"4333",2,1934,5,NA,5,NA
"4334",1,1946,3,NA,5,NA
"4335",2,1958,3,941,5,150
"4336",1,1976,5,921,5,NA
"4337",2,1977,5,421,5,79
"4338",2,2006,4,NA,5,NA
"4339",2,2008,3,NA,5,NA
"4340",2,2011,3,NA,5,NA
"4341",1,2014,1,NA,5,NA
"4342",1,1949,5,941,5,230
"4343",2,1951,4,NA,5,NA
"4344",1,1973,7,NA,5,NA
"4345",2,1932,2,NA,5,NA
"4346",1,1970,7,132,5,700
"4347",2,1974,6,NA,5,NA
"4348",1,2003,5,NA,5,NA
"4349",2,2007,4,NA,5,NA
"4350",1,1946,5,NA,5,NA
"4351",2,1948,3,NA,5,NA
"4352",1,1943,5,NA,5,NA
"4353",2,1946,4,NA,5,NA
"4354",1,1935,7,NA,5,NA
"4355",2,1938,4,NA,5,NA
"4356",2,1953,3,952,5,NA
"4357",1,1980,6,910,5,NA
"4358",2,1994,5,313,5,243
"4359",1,1985,5,854,5,300
"4360",2,2013,3,NA,5,NA
"4361",1,2015,1,NA,5,NA
"4362",2,1967,4,421,5,246
"4363",2,1996,7,NA,5,NA
"4364",1,1976,7,149,5,418
"4365",2,1976,6,311,5,424
"4366",2,2010,3,NA,5,NA
"4367",1,1975,8,510,5,1027
"4368",2,1974,7,311,5,462
"4369",1,2004,5,NA,5,NA
"4370",1,2005,5,NA,5,NA
"4371",1,1943,5,611,5,NA
"4372",1,1940,4,NA,5,NA
"4373",2,1944,3,153,5,27
"4374",1,1972,7,135,5,307
"4375",2,1976,7,999,5,214
"4376",2,2006,4,NA,5,NA
"4377",1,2009,3,NA,5,NA
"4378",1,1973,8,247,5,305
"4379",2,1974,7,133,5,157
"4380",2,2005,4,NA,5,NA
"4381",2,2007,4,NA,5,NA
"4382",2,2009,3,NA,5,NA
"4383",1,1972,7,152,6,530
"4384",2,1975,7,259,6,NA
"4385",1,2001,7,NA,6,NA
"4386",2,2006,4,NA,6,NA
"4387",2,1943,3,NA,2,NA
"4388",2,1959,5,NA,5,NA
"4389",1,1979,6,235,5,252
"4390",2,1979,6,312,5,190
"4391",1,2003,5,NA,5,NA
"4392",2,2011,3,NA,5,NA
"4393",1,1977,5,832,5,564
"4394",2,1979,6,510,5,292
"4395",2,2007,4,NA,5,NA
"4396",2,2015,1,NA,5,NA
"4397",1,1936,5,NA,5,NA
"4398",2,1936,3,NA,5,NA
"4399",1,1938,5,999,5,27
"4400",2,1939,4,442,5,27
"4401",1,1969,7,159,5,298
"4402",2,2003,5,NA,5,NA
"4403",2,1978,7,NA,5,NA
"4404",1,2007,4,NA,5,NA
"4405",2,1956,5,421,6,200
"4406",1,1970,6,521,5,362
"4407",2,1944,2,NA,5,NA
"4408",2,2001,7,NA,5,NA
"4409",1,1955,5,611,5,NA
"4410",2,1959,5,611,5,NA
"4411",1,1989,7,611,5,NA
"4412",2,1985,7,NA,2,NA
"4413",1,1978,7,312,2,817
"4414",2,2013,3,NA,2,NA
"4415",1,2015,1,NA,2,NA
"4416",2,1991,8,252,6,280
"4417",2,1943,2,NA,5,NA
"4418",1,1971,5,510,5,333
"4419",2,1972,7,313,5,241
"4420",1,1998,7,NA,5,NA
"4421",1,2001,7,NA,5,NA
"4422",1,1953,5,942,5,210
"4423",2,1958,5,NA,5,NA
"4424",2,1982,8,NA,5,NA
"4425",1,1981,7,320,5,625
"4426",2,2018,1,NA,5,NA
"4427",2,1984,7,252,5,303
"4428",1,1983,7,261,5,NA
"4429",1,1980,6,510,5,372
"4430",2,1977,6,NA,5,NA
"4431",2,2011,3,NA,5,NA
"4432",2,2014,1,NA,5,NA
"4433",2,1949,5,951,5,30
"4434",1,1937,3,NA,5,NA
"4435",2,1942,3,NA,5,NA
"4436",1,1960,5,873,5,150
"4437",2,1958,5,951,5,162
"4438",2,1982,7,532,5,NA
"4439",1,1978,7,245,5,482
"4440",1,2011,3,NA,5,NA
"4441",2,2014,1,NA,5,NA
"4442",2,2020,1,NA,5,NA
"4443",1,1968,5,442,5,NA
"4444",2,1973,5,320,5,428
"4445",2,2003,5,NA,5,NA
"4446",2,1932,2,NA,5,NA
"4447",2,2006,4,NA,5,NA
"4448",1,2010,3,NA,5,NA
"4449",2,1961,7,421,5,97
"4450",2,2004,5,NA,5,NA
"4451",1,1965,5,NA,5,NA
"4452",2,1938,3,NA,5,NA
"4453",2,1985,6,NA,5,NA
"4454",1,1983,5,899,5,250
"4455",2,2012,3,NA,5,NA
"4456",2,2018,1,NA,5,NA
"4457",1,1966,7,311,5,688
"4458",2,1969,6,243,5,220
"4459",1,1996,7,NA,5,NA
"4460",1,2001,7,NA,5,NA
"4461",1,1960,4,NA,5,NA
"4462",1,1992,7,NA,5,NA
"4463",2,1939,3,NA,5,NA
"4464",1,1973,5,761,5,325
"4465",2,1973,5,NA,5,NA
"4466",2,2003,5,NA,5,NA
"4467",1,2008,3,NA,5,NA
"4468",1,1939,3,941,5,27
"4469",1,1939,2,NA,5,NA
"4470",2,1944,2,941,5,27
"4471",1,1970,5,854,5,NA
"4472",2,2001,7,NA,5,NA
"4473",1,1955,3,NA,5,NA
"4474",2,1945,3,NA,5,NA
"4475",1,1947,5,NA,5,NA
"4476",2,1952,4,NA,5,NA
"4477",1,1961,5,843,5,312
"4478",2,1989,6,313,5,114
"4479",1,1962,5,751,5,NA
"4480",2,1962,5,441,5,200
"4481",2,1995,8,953,5,70
"4482",1,1983,7,311,5,300
"4483",2,1985,7,252,5,341
"4484",2,2014,1,NA,5,NA
"4485",1,2016,1,NA,5,NA
"4486",1,1952,4,611,5,NA
"4487",2,1953,3,NA,5,NA
